address_id,name,lat,lon,building_matched,structure_hint,hint_confidence,class_source,matched_radius_m
addr_062,1104,46.81671899932361,-100.8138049997091,False,UNRESOLVED,0.0,NONE,
addr_063,1225,46.81535599901586,-100.8137660002494,False,UNRESOLVED,0.0,NONE,
addr_064,1116,46.81723799906213,-100.8135379997455,False,UNRESOLVED,0.0,NONE,
addr_065,1121,46.81743099883726,-100.8128909998402,False,UNRESOLVED,0.0,NONE,
addr_066,1020,46.8156159991269,-100.8104560003799,False,UNRESOLVED,0.0,NONE,
addr_067,1009,46.8156389991613,-100.8111929997985,False,UNRESOLVED,0.0,NONE,
addr_068,1262,46.81953999905678,-100.8137529998306,False,UNRESOLVED,0.0,NONE,
addr_069,1249,46.81419899901628,-100.8149410002343,False,UNRESOLVED,0.0,NONE,
addr_070,1013,46.81548699883171,-100.8142399999023,False,UNRESOLVED,0.0,NONE,
addr_071,1015,46.81653499877977,-100.8043069999208,False,UNRESOLVED,0.0,NONE,
addr_072,907,46.81412099914989,-100.8052409998812,False,UNRESOLVED,0.0,NONE,
addr_073,1014,46.81754699889755,-100.8060150000081,False,UNRESOLVED,0.0,NONE,
addr_074,1009,46.8158489990474,-100.8052540003,False,UNRESOLVED,0.0,NONE,
addr_075,1024,46.81671499915814,-100.805907999878,False,UNRESOLVED,0.0,NONE,
addr_076,1038,46.81671899932361,-100.8065489999355,False,UNRESOLVED,0.0,NONE,
addr_077,1007,46.81585499908477,-100.8039980001243,False,UNRESOLVED,0.0,NONE,
addr_078,909,46.81403599930067,-100.8066309999513,False,UNRESOLVED,0.0,NONE,
addr_079,828,46.81354699903388,-100.8059420002132,False,UNRESOLVED,0.0,NONE,
addr_080,1008,46.81677599934433,-100.8050080002527,False,UNRESOLVED,0.0,NONE,
addr_081,1238,46.81856199889356,-100.815055999862,False,UNRESOLVED,0.0,NONE,
addr_082,905,46.81518699900731,-100.8035839998475,False,UNRESOLVED,0.0,NONE,
addr_083,1108,46.81687757149666,-100.8073108260937,False,UNRESOLVED,0.0,NONE,
addr_084,1008,46.81585699889217,-100.8046109996944,False,UNRESOLVED,0.0,NONE,
